instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.97069,1.0,0,massA=0.971 massB=0.0293
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.18243,1.0,0,massA=0.182 massB=0.818
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.93812,1.0,0,massA=0.0619 massB=0.938
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.00175,1.0,0,massA=0.998 massB=0.00175
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.18243,1.0,0,massA=0.182 massB=0.818
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.28777,1.0,0,massA=0.712 massB=0.288
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.10971,1.0,0,massA=0.11 massB=0.89
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.13661,1.0,0,massA=0.137 massB=0.863
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.91244,1.0,0,massA=0.912 massB=0.0876
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.16452,1.0,0,massA=0.835 massB=0.165
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.04603,0.99999,0,massA=0.046 massB=0.954
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.99218,1.0,0,massA=0.00782 massB=0.992
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.99819,1.0,0,massA=0.998 massB=0.00181
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.18243,1.0,0,massA=0.182 massB=0.818
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.02844,1.0,0,massA=0.972 massB=0.0284
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.16886,1.0,0,massA=0.831 massB=0.169
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.93629,1.0,0,massA=0.936 massB=0.0637
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.60019,1.0,0,massA=0.6 massB=0.4
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.09535,1.0,0,massA=0.0953 massB=0.905
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.03847,1.0,0,massA=0.962 massB=0.0385
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.03622,1.0,0,massA=0.964 massB=0.0362
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.37754,1.0,0,massA=0.378 massB=0.622
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.85585,1.0,0,massA=0.856 massB=0.144
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.4149,1.0,0,massA=0.415 massB=0.585
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.09269,1.0,0,massA=0.907 massB=0.0927
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.12592,0.99998,0,massA=0.126 massB=0.874
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.81287,1.0,0,massA=0.187 massB=0.813
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.34865,1.0,0,massA=0.651 massB=0.349
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.04468,1.0,0,massA=0.955 massB=0.0447
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.45326,1.0,0,massA=0.547 massB=0.453
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.7773,1.0,0,massA=0.223 massB=0.777
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.01243,1.0,0,massA=0.0124 massB=0.988
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.01322,1.0,0,massA=0.0132 massB=0.987
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.0851,0.99999,0,massA=0.0851 massB=0.915
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,Qwen/Qwen2.5-7B-Instruct,chat,0.96886,1.0,0,massA=0.969 massB=0.0311
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.00885,1.0,0,massA=0.991 massB=0.00885
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.15203,1.0,0,massA=0.848 massB=0.152
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,Qwen/Qwen2.5-7B-Instruct,chat,0.98028,1.0,0,massA=0.0197 massB=0.98
