instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,induce,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.84183,0.9998,0,massA=0.842 massB=0.158
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.39234,0.99265,0,massA=0.389 massB=0.603
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.87408,0.98986,0,massA=0.125 massB=0.865
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.74317,0.99513,0,massA=0.256 massB=0.74
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.76065,0.99959,0,massA=0.76 massB=0.239
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.4149,0.99975,0,massA=0.585 massB=0.415
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.63341,0.99961,0,massA=0.633 massB=0.366
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.51172,0.98593,0,massA=0.505 massB=0.481
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.33808,0.99428,0,massA=0.336 massB=0.658
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.74909,0.99476,0,massA=0.25 massB=0.745
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.79566,0.99583,0,massA=0.792 massB=0.203
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.81523,0.99202,0,massA=0.183 massB=0.809
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.36659,0.98307,0,massA=0.36 massB=0.623
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.72798,0.99973,0,massA=0.728 massB=0.272
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.69925,0.99618,0,massA=0.3 massB=0.697
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.66192,0.99991,0,massA=0.338 massB=0.662
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.78793,0.99972,0,massA=0.788 massB=0.212
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.78793,0.99977,0,massA=0.788 massB=0.212
p1,355,35,risk,0,91,133,0.68,0.9938,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.5851,0.99143,0,massA=0.58 massB=0.411
p1,126,12,risk,0,164,541,0.38,1.2535,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.61509,0.99991,0,massA=0.385 massB=0.615
p1,36,3,risk,0,46,158,0.33,1.1335,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.5851,0.9999,0,massA=0.415 massB=0.585
p1,245,24,risk,0,168,214,0.76,0.9681,2,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.53898,0.99094,0,massA=0.534 massB=0.457
p1,177,17,risk,0,117,362,0.42,1.2995,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.77458,0.9998,0,massA=0.774 massB=0.225
p1,133,13,risk,0,72,88,0.64,0.7822,1,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.4149,0.99523,0,massA=0.413 massB=0.582
p1,312,31,risk,0,51,151,0.29,0.8586,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.78531,0.99372,0,massA=0.213 massB=0.78
p1,221,22,risk,0,81,163,0.72,1.4489,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.73412,0.99606,0,massA=0.731 massB=0.265
p1,280,28,risk,0,132,181,0.76,1.0421,0,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.5351,0.99941,0,massA=0.465 massB=0.535
p1,164,16,risk,0,139,234,0.6,1.0101,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.61509,0.99862,0,massA=0.384 massB=0.614
p1,124,12,risk,0,164,541,0.38,1.2535,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.5813,0.99921,0,massA=0.418 massB=0.581
p1,332,33,risk,0,142,446,0.53,1.6646,1,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.74317,0.99246,0,massA=0.255 massB=0.738
p1,226,22,risk,0,81,163,0.72,1.4489,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.71223,0.99977,0,massA=0.288 massB=0.712
p1,391,39,risk,0,178,567,0.32,1.0193,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.74317,0.99781,0,massA=0.742 massB=0.256
p1,81,8,risk,0,62,263,0.33,1.3998,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.6478,0.99838,0,massA=0.647 massB=0.352
p1,71,7,risk,0,63,98,0.64,0.9956,0,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.80069,0.9933,0,massA=0.795 massB=0.198
p1,17,1,risk,0,58,116,0.66,1.32,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.75201,0.99984,0,massA=0.752 massB=0.248
p1,236,23,risk,0,91,626,0.23,1.5822,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.65135,0.99988,0,massA=0.349 massB=0.651
p1,206,20,risk,0,186,266,0.63,0.901,3,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.69264,0.99978,0,massA=0.307 massB=0.692
p1,68,6,risk,0,94,101,0.71,0.7629,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.85391,0.99212,0,massA=0.145 massB=0.847
p1,337,33,risk,0,142,446,0.53,1.6646,3,False,A,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.82894,0.99986,0,massA=0.829 massB=0.171
p1,44,4,risk,0,29,71,0.55,1.3466,2,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.66888,0.99855,0,massA=0.331 massB=0.668
p1,188,18,risk,0,41,61,0.58,0.8629,4,True,B,meta-llama/Llama-3.1-8B-Instruct,chat,none,0.91118,0.98872,0,massA=0.0878 massB=0.901
