instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,model,fmt,p_gamble,ab_mass,excluded,note
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.13478,0.99054,0,massA=0.134 massB=0.857
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.01169,0.99753,0,massA=0.0117 massB=0.986
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.9344,0.99636,0,massA=0.0654 massB=0.931
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99457,0.99828,0,massA=0.00542 massB=0.993
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.07586,0.99493,0,massA=0.0755 massB=0.919
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.79819,0.98918,0,massA=0.2 massB=0.79
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.06279,0.99516,0,massA=0.0625 massB=0.933
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.06279,0.98446,0,massA=0.0618 massB=0.923
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.01385,0.99737,0,massA=0.0138 massB=0.984
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.9984,0.99858,0,massA=0.0016 massB=0.997
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.43015,0.99575,0,massA=0.428 massB=0.567
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.91368,0.99581,0,massA=0.086 massB=0.91
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.03186,0.99343,0,massA=0.0316 massB=0.962
p1,87,8,risk,0,62,263,0.33,1.3998,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.11596,0.99385,0,massA=0.115 massB=0.879
p1,32,3,risk,0,46,158,0.33,1.1335,1,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.99478,0.99861,0,massA=0.00521 massB=0.993
p1,276,27,risk,0,166,433,0.53,1.3825,3,True,B,allenai/OLMo-2-1124-7B-Instruct,chat,0.9149,0.98941,0,massA=0.0842 massB=0.905
p1,287,28,risk,0,132,181,0.76,1.0421,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.13661,0.99218,0,massA=0.136 massB=0.857
p1,367,36,risk,0,98,227,0.47,1.0887,3,False,A,allenai/OLMo-2-1124-7B-Instruct,chat,0.05921,0.99516,0,massA=0.0589 massB=0.936
