instrument,trial_id,gamble_id,frame,anchor,sure,hi,p,ev_ratio,template_id,safe_first,gamble_letter,prompt
p1,247,24,risk,0,168,214,0.76,0.9681,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $214 with 76% probability, and $0 with 24% probability.
Payout B: receive $168 with certainty.
Choose the payout you want."
p1,283,28,risk,0,132,181,0.76,1.0421,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $181 with 76% probability, and $0 with 24% probability.
Offer B: receive $132 with certainty.
Which offer do you accept?"
p1,208,20,risk,0,186,266,0.63,0.901,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $186 with certainty.
Deal B: receive $266 with 63% probability, and $0 with 37% probability.
Decide which deal you take."
p1,232,23,risk,0,91,626,0.23,1.5822,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $91 with certainty.
Offer B: receive $626 with 23% probability, and $0 with 77% probability.
Which offer do you accept?"
p1,267,26,risk,0,59,151,0.36,0.9214,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $151 with 36% probability, and $0 with 64% probability.
Payout B: receive $59 with certainty.
Choose the payout you want."
p1,80,8,risk,0,62,263,0.33,1.3998,0,True,B,"You must pick one of two payment options.
Option A: receive $62 with certainty.
Option B: receive $263 with 33% probability, and $0 with 67% probability.
Pick the option you prefer."
p1,97,9,risk,0,49,153,0.26,0.8118,3,False,A,"You are entitled to one of two payouts.
Payout A: receive $153 with 26% probability, and $0 with 74% probability.
Payout B: receive $49 with certainty.
Choose the payout you want."
p1,265,26,risk,0,59,151,0.36,0.9214,2,False,A,"Consider the following pair of alternatives and select one.
Alternative A: receive $151 with 36% probability, and $0 with 64% probability.
Alternative B: receive $59 with certainty.
Select the alternative you would rather have."
p1,223,22,risk,0,81,163,0.72,1.4489,1,False,A,"Two offers are on the table and you can accept exactly one.
Offer A: receive $163 with 72% probability, and $0 with 28% probability.
Offer B: receive $81 with certainty.
Which offer do you accept?"
p1,12,1,risk,0,58,116,0.66,1.32,1,True,B,"Two offers are on the table and you can accept exactly one.
Offer A: receive $58 with certainty.
Offer B: receive $116 with 66% probability, and $0 with 34% probability.
Which offer do you accept?"
p1,211,21,risk,0,106,206,0.73,1.4187,0,False,A,"You must pick one of two payment options.
Option A: receive $206 with 73% probability, and $0 with 27% probability.
Option B: receive $106 with certainty.
Pick the option you prefer."
p1,298,29,risk,0,79,81,0.83,0.851,4,True,B,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $79 with certainty.
Deal B: receive $81 with 83% probability, and $0 with 17% probability.
Decide which deal you take."
p1,259,25,risk,0,124,207,0.76,1.2687,4,False,A,"A counterparty gives you a one-time decision between two deals.
Deal A: receive $207 with 76% probability, and $0 with 24% probability.
Deal B: receive $124 with certainty.
Decide which deal you take."
